Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
2087161,1-8-18 19:09:35,0.000,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.330,_mol/L,27.145,¡C,1025.000,hPa,Humid,36,1,0,21.779,124734,360568.08,58.08,24.00,#N/A
2087164,1-8-18 19:09:36,0.017,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.248,_mol/L,27.151,¡C,1025.000,hPa,Humid,36,1,0,21.782,124687,360497.51,58.08,24.00,#N/A
2087168,1-8-18 19:09:37,0.033,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.279,_mol/L,27.157,¡C,1025.000,hPa,Humid,36,1,0,21.778,124671,360455.57,58.08,24.00,#N/A
2087177,1-8-18 19:09:38,0.049,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.265,_mol/L,27.145,¡C,1025.000,hPa,Humid,36,1,0,21.783,124668,360412.93,58.08,24.00,#N/A
2087179,1-8-18 19:09:39,0.066,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.231,_mol/L,27.151,¡C,1025.000,hPa,Humid,36,1,0,21.783,124653,360395.11,58.08,24.00,#N/A
2087187,1-8-18 19:09:40,0.083,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.231,_mol/L,27.151,¡C,1025.000,hPa,Humid,36,1,0,21.783,124643,360377.46,58.08,24.00,#N/A
2087199,1-8-18 19:09:41,0.100,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.264,_mol/L,27.151,¡C,1025.000,hPa,Humid,36,1,0,21.781,124624,360348.19,58.08,24.00,#N/A
2087203,1-8-18 19:09:42,0.117,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.265,_mol/L,27.145,¡C,1025.000,hPa,Humid,36,1,0,21.783,124623,360341.16,58.08,24.00,#N/A
2087214,1-8-18 19:09:43,0.133,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.265,_mol/L,27.145,¡C,1025.000,hPa,Humid,36,1,0,21.783,124615,360320.53,58.08,24.00,#N/A
2087224,1-8-18 19:09:44,0.150,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.231,_mol/L,27.151,¡C,1025.000,hPa,Humid,36,1,0,21.783,124620,360304.39,58.08,24.00,#N/A
2087228,1-8-18 19:09:45,0.166,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.215,_mol/L,27.151,¡C,1025.000,hPa,Humid,36,1,0,21.784,124618,360314.02,58.08,24.00,#N/A
2087240,1-8-18 19:09:46,0.183,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.167,_mol/L,27.151,¡C,1025.000,hPa,Humid,36,1,0,21.787,124615,360307.82,58.08,24.00,#N/A
2087243,1-8-18 19:09:47,0.200,OXY6 (PSt7-10),27-6-18 9:56:39,default,185.231,_mol/L,27.151,¡C,1025.000,hPa,Humid,36,1,0,21.783,124615,360293.05,58.08,24.00,#N/A
