Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
2120341,1-8-18 20:41:37,0.000,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.162,_mol/L,26.996,¡C,1025.000,hPa,Humid,36,0,0,20.855,116179,219547.59,26.25,55.30,#N/A
2120342,1-8-18 20:41:38,0.012,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.163,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.859,116133,219493.80,26.25,55.30,#N/A
2120355,1-8-18 20:41:39,0.028,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.127,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.861,116108,219475.42,26.25,55.30,#N/A
2120357,1-8-18 20:41:40,0.045,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.163,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.857,116100,219454.80,26.25,55.30,#N/A
2120366,1-8-18 20:41:41,0.062,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.055,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.863,116094,219456.05,26.25,55.30,#N/A
2120372,1-8-18 20:41:42,0.078,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.163,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.857,116081,219442.19,26.25,55.30,#N/A
2120382,1-8-18 20:41:43,0.095,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.109,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.860,116088,219445.34,26.25,55.30,#N/A
2120390,1-8-18 20:41:44,0.112,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.037,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.864,116077,219432.69,26.25,55.30,#N/A
2120401,1-8-18 20:41:45,0.129,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.127,_mol/L,26.978,¡C,1025.000,hPa,Humid,36,0,0,20.863,116080,219439.75,26.25,55.30,#N/A
2120404,1-8-18 20:41:46,0.145,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.127,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.861,116067,219423.94,26.25,55.30,#N/A
2120413,1-8-18 20:41:47,0.162,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.002,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.866,116073,219421.66,26.25,55.30,#N/A
2120423,1-8-18 20:41:48,0.179,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.091,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.863,116062,219420.77,26.25,55.30,#N/A
2120429,1-8-18 20:41:49,0.195,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.073,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.864,116064,219432.33,26.25,55.30,#N/A
2120439,1-8-18 20:41:50,0.211,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.055,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.863,116032,219419.14,26.25,55.30,#N/A
2120445,1-8-18 20:41:51,0.228,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.109,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.862,116038,219420.56,26.25,55.30,#N/A
2120452,1-8-18 20:41:52,0.245,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.002,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.866,116053,219421.14,26.25,55.30,#N/A
2120461,1-8-18 20:41:53,0.262,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.056,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.865,116030,219418.98,26.25,55.30,#N/A
2120470,1-8-18 20:41:54,0.279,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.056,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.865,116031,219415.94,26.25,55.30,#N/A
2120482,1-8-18 20:41:55,0.295,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.038,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.866,116026,219411.69,26.25,55.30,#N/A
2120490,1-8-18 20:41:56,0.312,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.109,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.862,116022,219407.67,26.25,55.30,#N/A
2120492,1-8-18 20:41:57,0.329,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.110,_mol/L,26.978,¡C,1025.000,hPa,Humid,36,0,0,20.864,116029,219400.32,26.25,55.30,#N/A
2120507,1-8-18 20:41:58,0.346,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.073,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.864,116024,219407.74,26.25,55.30,#N/A
2120508,1-8-18 20:41:59,0.362,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.019,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.865,116018,219390.13,26.25,55.30,#N/A
2120516,1-8-18 20:42:00,0.378,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.056,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.865,116014,219398.03,26.25,55.30,#N/A
2120524,1-8-18 20:42:01,0.395,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.038,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.866,116020,219399.72,26.25,55.30,#N/A
2120532,1-8-18 20:42:02,0.412,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.002,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.868,116012,219397.77,26.25,55.30,#N/A
2120540,1-8-18 20:42:03,0.428,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.038,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.866,116007,219392.00,26.25,55.30,#N/A
2120548,1-8-18 20:42:04,0.445,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.073,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.864,116018,219393.81,26.25,55.30,#N/A
2120556,1-8-18 20:42:05,0.462,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.020,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.867,116001,219395.66,26.25,55.30,#N/A
2120564,1-8-18 20:42:06,0.478,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.073,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.864,116007,219391.67,26.25,55.30,#N/A
2120579,1-8-18 20:42:07,0.495,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.091,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.863,116003,219380.31,26.25,55.30,#N/A
2120583,1-8-18 20:42:08,0.512,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.002,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.866,115995,219372.06,26.25,55.30,#N/A
2120594,1-8-18 20:42:09,0.529,OXY2 (PSt7-10),27-6-18 9:55:47,default,199.984,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.867,115993,219377.19,26.25,55.30,#N/A
2120596,1-8-18 20:42:10,0.545,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.056,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.865,116000,219389.94,26.25,55.30,#N/A
2120610,1-8-18 20:42:11,0.562,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.055,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.863,115999,219385.10,26.25,55.30,#N/A
2120612,1-8-18 20:42:12,0.578,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.073,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.864,115991,219372.93,26.25,55.30,#N/A
2120620,1-8-18 20:42:13,0.595,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.019,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.865,115992,219368.22,26.25,55.30,#N/A
2120630,1-8-18 20:42:14,0.612,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.037,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.864,115980,219370.98,26.25,55.30,#N/A
2120638,1-8-18 20:42:15,0.629,OXY2 (PSt7-10),27-6-18 9:55:47,default,199.966,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.868,115976,219371.00,26.25,55.30,#N/A
2120645,1-8-18 20:42:16,0.645,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.037,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.864,115977,219363.33,26.25,55.30,#N/A
2120654,1-8-18 20:42:17,0.662,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.002,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.868,115977,219366.12,26.25,55.30,#N/A
2120662,1-8-18 20:42:18,0.679,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.002,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.868,115959,219357.46,26.25,55.30,#N/A
2120672,1-8-18 20:42:19,0.695,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.056,_mol/L,26.978,¡C,1025.000,hPa,Humid,36,0,0,20.867,115966,219363.57,26.25,55.30,#N/A
2120681,1-8-18 20:42:20,0.711,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.020,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.867,115954,219371.85,26.25,55.30,#N/A
2120685,1-8-18 20:42:21,0.728,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.037,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.864,115949,219362.51,26.25,55.30,#N/A
2120693,1-8-18 20:42:22,0.745,OXY2 (PSt7-10),27-6-18 9:55:47,default,199.948,_mol/L,26.996,¡C,1025.000,hPa,Humid,36,0,0,20.867,115951,219365.02,26.25,55.30,#N/A
2120701,1-8-18 20:42:23,0.762,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.019,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.865,115952,219351.00,26.25,55.30,#N/A
2120713,1-8-18 20:42:24,0.779,OXY2 (PSt7-10),27-6-18 9:55:47,default,200.019,_mol/L,26.990,¡C,1025.000,hPa,Humid,36,0,0,20.865,115941,219347.93,26.25,55.30,#N/A
2120717,1-8-18 20:42:25,0.795,OXY2 (PSt7-10),27-6-18 9:55:47,default,199.984,_mol/L,26.984,¡C,1025.000,hPa,Humid,36,0,0,20.869,115948,219343.60,26.25,55.30,#N/A
2120725,1-8-18 20:42:26,0.812,OXY2 (PSt7-10),27-6-18 9:55:47,default,199.965,_mol/L,26.996,¡C,1025.000,hPa,Humid,36,0,0,20.866,115942,219349.52,26.25,55.30,#N/A
