Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
2087139,1-8-18 19:09:24,0.000,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.161,_mol/L,27.038,¡C,1025.000,hPa,Humid,36,1,0,21.463,104499,261706.81,57.03,20.10,#N/A
2087140,1-8-18 19:09:26,0.025,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.127,_mol/L,27.038,¡C,1025.000,hPa,Humid,36,1,0,21.465,104485,261622.09,57.03,20.10,#N/A
2087141,1-8-18 19:09:27,0.041,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.110,_mol/L,27.038,¡C,1025.000,hPa,Humid,36,1,0,21.466,104452,261560.44,57.03,20.10,#N/A
2087142,1-8-18 19:09:28,0.058,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.093,_mol/L,27.038,¡C,1025.000,hPa,Humid,36,1,0,21.467,104439,261506.29,57.03,20.10,#N/A
2087143,1-8-18 19:09:29,0.075,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.127,_mol/L,27.038,¡C,1025.000,hPa,Humid,36,1,0,21.465,104426,261478.46,57.03,20.10,#N/A
2087144,1-8-18 19:09:30,0.092,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.059,_mol/L,27.044,¡C,1025.000,hPa,Humid,36,1,0,21.467,104422,261441.81,57.03,20.10,#N/A
2087146,1-8-18 19:09:31,0.108,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.094,_mol/L,27.032,¡C,1025.000,hPa,Humid,36,1,0,21.469,104418,261428.75,57.03,20.10,#N/A
2087147,1-8-18 19:09:32,0.125,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.093,_mol/L,27.038,¡C,1025.000,hPa,Humid,36,1,0,21.467,104424,261399.58,57.03,20.10,#N/A
2087151,1-8-18 19:09:33,0.142,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.060,_mol/L,27.038,¡C,1025.000,hPa,Humid,36,1,0,21.469,104420,261371.23,57.03,20.10,#N/A
2087154,1-8-18 19:09:34,0.158,OXY1 (PSt7-10),27-6-18 9:55:34,default,191.076,_mol/L,27.044,¡C,1025.000,hPa,Humid,36,1,0,21.466,104424,261355.41,57.03,20.10,#N/A
