Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1880569,31/7/18 18:07:56,0.000,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.895,_mol/L,26.312,¡C,1026.000,hPa,Humid,36,1,0,21.604,98030,255123.81,55.98,46.00,#N/A
1880571,31/7/18 18:07:57,0.016,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.860,_mol/L,26.318,¡C,1026.000,hPa,Humid,36,1,0,21.604,97993,255071.70,55.98,46.00,#N/A
1880575,31/7/18 18:07:58,0.033,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.878,_mol/L,26.312,¡C,1026.000,hPa,Humid,36,1,0,21.605,97983,255047.73,55.98,46.00,#N/A
1880583,31/7/18 18:07:59,0.050,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.877,_mol/L,26.318,¡C,1026.000,hPa,Humid,36,1,0,21.603,97974,255027.29,55.98,46.00,#N/A
1880587,31/7/18 18:08:00,0.067,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.895,_mol/L,26.312,¡C,1026.000,hPa,Humid,36,1,0,21.604,97959,255019.32,55.98,46.00,#N/A
1880595,31/7/18 18:08:01,0.083,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.895,_mol/L,26.312,¡C,1026.000,hPa,Humid,36,1,0,21.604,97954,255025.51,55.98,46.00,#N/A
1880598,31/7/18 18:08:02,0.099,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.791,_mol/L,26.324,¡C,1026.000,hPa,Humid,36,1,0,21.606,97948,255011.56,55.98,46.00,#N/A
1880604,31/7/18 18:08:03,0.116,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.895,_mol/L,26.312,¡C,1026.000,hPa,Humid,36,1,0,21.604,97926,255010.50,55.98,46.00,#N/A
1880613,31/7/18 18:08:04,0.133,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.912,_mol/L,26.312,¡C,1026.000,hPa,Humid,36,1,0,21.603,97935,254994.51,55.98,46.00,#N/A
1880614,31/7/18 18:08:05,0.149,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.964,_mol/L,26.306,¡C,1026.000,hPa,Humid,36,1,0,21.602,97919,254999.00,55.98,46.00,#N/A
1880620,31/7/18 18:08:06,0.166,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.946,_mol/L,26.312,¡C,1026.000,hPa,Humid,36,1,0,21.601,97899,254999.37,55.98,46.00,#N/A
1880627,31/7/18 18:08:07,0.183,OXY4 (PSt7-10),27/6/18 9:56:11,default,192.946,_mol/L,26.312,¡C,1026.000,hPa,Humid,36,1,0,21.601,97922,254995.47,55.98,46.00,#N/A
