Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1880556,31/7/18 18:07:51,0.000,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.948,_mol/L,27.368,¡C,1026.000,hPa,Humid,36,0,0,20.744,105772,223043.62,26.25,55.30,#N/A
1880558,31/7/18 18:07:53,0.018,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.894,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.745,105748,222996.59,26.25,55.30,#N/A
1880561,31/7/18 18:07:54,0.034,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.858,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.747,105726,222962.08,26.25,55.30,#N/A
1880563,31/7/18 18:07:55,0.050,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.840,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.748,105721,222954.28,26.25,55.30,#N/A
1880566,31/7/18 18:07:56,0.067,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.822,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.749,105715,222948.01,26.25,55.30,#N/A
1880572,31/7/18 18:07:57,0.084,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.894,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.745,105703,222938.17,26.25,55.30,#N/A
1880577,31/7/18 18:07:58,0.101,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.822,_mol/L,27.380,¡C,1026.000,hPa,Humid,36,0,0,20.747,105700,222925.96,26.25,55.30,#N/A
1880580,31/7/18 18:07:59,0.117,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.859,_mol/L,27.368,¡C,1026.000,hPa,Humid,36,0,0,20.749,105685,222915.38,26.25,55.30,#N/A
1880584,31/7/18 18:08:00,0.134,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.930,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.743,101715,222922.88,26.25,55.30,#N/A
1880593,31/7/18 18:08:01,0.151,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.966,_mol/L,27.368,¡C,1026.000,hPa,Humid,36,0,0,20.743,102194,222919.82,26.25,55.30,#N/A
1880600,31/7/18 18:08:02,0.168,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.984,_mol/L,27.368,¡C,1026.000,hPa,Humid,36,0,0,20.742,101719,222917.30,26.25,55.30,#N/A
1880605,31/7/18 18:08:03,0.184,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.894,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.745,103558,222908.27,26.25,55.30,#N/A
1880609,31/7/18 18:08:04,0.200,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.948,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.742,103158,222897.86,26.25,55.30,#N/A
1880618,31/7/18 18:08:05,0.217,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.966,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.741,103882,222903.51,26.25,55.30,#N/A
1880624,31/7/18 18:08:06,0.234,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.912,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.744,103947,222908.13,26.25,55.30,#N/A
1880629,31/7/18 18:08:07,0.251,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.948,_mol/L,27.374,¡C,1026.000,hPa,Humid,36,0,0,20.742,103922,222908.53,26.25,55.30,#N/A
1880632,31/7/18 18:08:08,0.267,OXY2 (PSt7-10),27/6/18 9:55:47,default,199.894,_mol/L,27.380,¡C,1026.000,hPa,Humid,36,0,0,20.743,103923,222894.34,26.25,55.30,#N/A
