Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1880589,31/7/18 18:08:00,0.000,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.249,_mol/L,27.280,¡C,1026.000,hPa,Humid,36,1,0,22.245,118235,363548.80,58.08,24.00,#N/A
1880594,31/7/18 18:08:01,0.013,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.372,_mol/L,27.280,¡C,1026.000,hPa,Humid,36,1,0,22.237,118564,363442.38,58.08,24.00,#N/A
1880601,31/7/18 18:08:02,0.030,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.541,_mol/L,27.280,¡C,1026.000,hPa,Humid,36,1,0,22.226,118212,363411.07,58.08,24.00,#N/A
1880606,31/7/18 18:08:03,0.047,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.589,_mol/L,27.274,¡C,1026.000,hPa,Humid,36,1,0,22.225,117627,363375.79,58.08,24.00,#N/A
1880610,31/7/18 18:08:04,0.063,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.589,_mol/L,27.274,¡C,1026.000,hPa,Humid,36,1,0,22.225,117785,363335.05,58.08,24.00,#N/A
1880616,31/7/18 18:08:05,0.080,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.510,_mol/L,27.280,¡C,1026.000,hPa,Humid,36,1,0,22.228,117089,363311.97,58.08,24.00,#N/A
1880622,31/7/18 18:08:06,0.097,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.510,_mol/L,27.280,¡C,1026.000,hPa,Humid,36,1,0,22.228,117524,363284.12,58.08,24.00,#N/A
1880630,31/7/18 18:08:07,0.114,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.541,_mol/L,27.280,¡C,1026.000,hPa,Humid,36,1,0,22.226,117502,363292.41,58.08,24.00,#N/A
1880634,31/7/18 18:08:08,0.130,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.558,_mol/L,27.274,¡C,1026.000,hPa,Humid,36,1,0,22.227,117505,363269.55,58.08,24.00,#N/A
1880640,31/7/18 18:08:09,0.147,OXY6 (PSt7-10),27/6/18 9:56:39,default,177.466,_mol/L,27.274,¡C,1026.000,hPa,Humid,36,1,0,22.233,122587,363257.23,58.08,24.00,#N/A
