Date.release,Settlement_check_date,coral.id,Site,Replicate,TUB_ID,Plug_1_num,Plug_2_num,Total_Larvae_in,Tank,Treatment,Type,Sett_P1_TOT,Sett_P2_TOT,Sett_P1_TOP,Sett_P2_TOP
20180809,20180813,R-20,Rim,1,6,116,132,50,1,Hot,Treatment,0,4,0,4
20180809,20180813,R-20,Rim,2,7,71,54,50,1,Hot,Treatment,4,1,4,1
20180809,20180813,R-20,Rim,3,8,102,51,50,2,Hot,Treatment,5,1,5,0
20180809,20180813,R-20,Rim,4,9,86,118,50,2,Hot,Treatment,0,0,0,0
20180809,20180813,R-20,Rim,5,10,101,87,50,9,Hot,Treatment,7,0,7,0
20180809,20180813,R-20,Rim,6,11,82,115,50,9,Hot,Treatment,0,3,0,3
20180809,20180813,R-20,Rim,1,12,85,100,50,6,Ambient,Treatment,2,1,1,1
20180809,20180813,R-20,Rim,2,13,84,67,50,6,Ambient,Treatment,2,3,1,2
20180809,20180813,R-20,Rim,3,14,117,69,50,8,Ambient,Treatment,0,0,0,0
20180809,20180813,R-20,Rim,4,15,53,99,50,8,Ambient,Treatment,2,8,2,5
20180809,20180813,R-20,Rim,5,16,70,83,50,5,Ambient,Treatment,3,1,3,1
20180809,20180813,R-20,Rim,6,17,68,66,50,5,Ambient,Treatment,0,0,0,0
20180809,20180813,"R-3,R-6,R-20",Rim,N/A,19,403,389,67,12,Ambient,Extra,N/A,N/A,N/A,N/A
20180809,20180813,D-8,Upper-mesophotic,N/A,20,404,386,50,12,Ambient,Extra,N/A,N/A,N/A,N/A
20180809,20180813,D-8,Upper-mesophotic,N/A,18,388,396,50,12,Ambient,Extra,N/A,N/A,N/A,N/A
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,1,21,38,184,50,3,Hot,Treatment,0,4,0,1
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,2,22,166,114,50,3,Hot,Treatment,3,0,3,0
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,3,23,398,92,50,4,Hot,Treatment,0,1,0,1
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,4,24,356,350,50,4,Hot,Treatment,0,0,0,0
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,5,25,72,354,50,10,Hot,Treatment,2,0,1,0
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,6,26,125,158,50,10,Hot,Treatment,3,0,3,0
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,1,27,368,370,50,7,Ambient,Treatment,1,0,1,0
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,2,28,44,295,50,7,Ambient,Treatment,2,2,1,2
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,3,29,325,371,50,5,Ambient,Treatment,2,1,0,1
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,4,30,385,306,50,5,Ambient,Treatment,1,7,1,2
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,5,31,5,26,50,8,Ambient,Treatment,1,1,0,1
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,6,32,215,93,50,8,Ambient,Treatment,7,0,1,1
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,N/A,33,131,163,50,8,Ambient,Extra,N/A,N/A,N/A,N/A
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,N/A,34,36,50,50,8,Ambient,Extra,N/A,N/A,N/A,N/A
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,N/A,35,133,35,50,8,Ambient,Extra,N/A,N/A,N/A,N/A
20180810,20180814,"D-2,D-1,D-3,D-17,D-18,D-7,D-8,",Upper-mesophotic,N/A,36,37,52,50,8,Ambient,Extra,N/A,N/A,N/A,N/A
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,1,37,353,355,50,1,Hot,Treatment,1,1,1,0
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,2,38,294,308,50,1,Hot,Treatment,6,0,0,0
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,3,39,339,309,50,2,Hot,Treatment,1,0,0,0
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,4,40,323,293,50,2,Hot,Treatment,1,1,0,0
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,5,41,250,326,50,3,Hot,Treatment,0,0,0,0
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,6,42,264,236,50,3,Hot,Treatment,1,6,0,5
20180811,20180815,"D-19,D-8,D-15,D-20,D-2,D-9,D-7,D-5,D-18,D-1,D-17,D-10",Upper-mesophotic,1,43,338,296,50,6,Ambient,Treatment,0,5,0,0
