Date,Sample.ID,Fragment.ID,Plug.Number,Chamber.Channel,Position,Bin.ID,Run,Species,Fragment.Number,Sample.Type,Temp.Cat,Water.Height.cm,Chamber.Vol.L,Surf.Area.cm2,Start.Tme.Light,Stop.Time.Light,Start.Tme.Dark,Stop.Time.Dark,Notes,QC
20190825,757,757,NA,1,1,NA,1,P.astreoides,NA,Sample,28,23.1,,,,,,,,
20190825,744,744,NA,2,2,NA,1,P.astreoides,NA,Sample,28,23,,,,,,,,
20190825,753,753,NA,3,3,NA,1,P.astreoides,NA,Sample,28,23,,,,,,,,
20190825,776,776,NA,4,4,NA,1,P.astreoides,NA,Sample,28,22.9,,,,,,,,
20190825,BLANK-1,BLANK-1,NA,5,5,NA,1,P.astreoides,NA,Blank,28,23.7,,,,,,,,
20190825,737,737,NA,6,6,NA,1,P.astreoides,NA,Sample,28,22.9,,,,,,,,
20190825,702,702,NA,7,7,NA,1,P.astreoides,NA,Sample,28,22.6,,,,,,,,
20190825,739,739,NA,8,8,NA,1,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,717,717,NA,9,9,NA,1,P.astreoides,NA,Sample,28,23,,,,,,,,
20190825,750,750,NA,10,10,NA,1,P.astreoides,NA,Sample,28,23.2,,,,,,,,
20190825,765,765,NA,1,1,NA,2,P.astreoides,NA,Sample,28,23.2,,,,,,,,
20190825,711,711,NA,2,2,NA,2,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,703,703,NA,3,3,NA,2,P.astreoides,NA,Sample,28,23.2,,,,,,,,
20190825,718,718,NA,4,4,NA,2,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,BLANK-2,BLANK-2,NA,5,5,NA,2,P.astreoides,NA,Blank,28,23.7,,,,,,,,
20190825,707,707,NA,6,6,NA,2,P.astreoides,NA,Sample,28,23.2,,,,,,,,
20190825,755,755,NA,7,7,NA,2,P.astreoides,NA,Sample,28,23.2,,,,,,,,
20190825,773,773,NA,8,8,NA,2,P.astreoides,NA,Sample,28,23.4,,,,,,,,
20190825,754,754,NA,9,9,NA,2,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,746,746,NA,10,10,NA,2,P.astreoides,NA,Sample,28,23.4,,,,,,,,
20190825,728,728,NA,1,1,NA,3,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,708,708,NA,2,2,NA,3,P.astreoides,NA,Sample,28,23.5,,,,,,,,
20190825,741,741,NA,3,3,NA,3,P.astreoides,NA,Sample,28,23.4,,,,,,,,
20190825,729,729,NA,4,4,NA,3,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,BLANK-3,BLANK-3,NA,5,5,NA,3,P.astreoides,NA,Blank,28,23.7,,,,,,,,
20190825,706,706,NA,6,6,NA,3,P.astreoides,NA,Sample,28,23,,,,,,,,
20190825,743,743,NA,7,7,NA,3,P.astreoides,NA,Sample,28,23.2,,,,,,,,
20190825,777,777,NA,8,8,NA,3,P.astreoides,NA,Sample,28,23.4,,,,,,,,
20190825,771,771,NA,9,9,NA,3,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,770,770,NA,10,10,NA,3,P.astreoides,NA,Sample,28,23.5,,,,,,,,
20190825,731,731,NA,1,1,NA,4,P.astreoides,NA,Sample,28,23.4,,,,,,,,
20190825,780,780,NA,2,2,NA,4,P.astreoides,NA,Sample,28,23.4,,,,,,,,
20190825,767,767,NA,3,3,NA,4,P.astreoides,NA,Sample,28,23.1,,,,,,,,
20190825,769,769,NA,4,4,NA,4,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,BLANK-4,BLANK-4,NA,5,5,NA,4,P.astreoides,NA,Blank,28,23.7,,,,,,,,
20190825,726,726,NA,6,6,NA,4,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,733,733,NA,7,7,NA,4,P.astreoides,NA,Sample,28,23.3,,,,,,,,
20190825,732,732,NA,8,8,NA,4,P.astreoides,NA,Sample,28,23.5,,,,,,,,
20190825,716,716,NA,9,9,NA,4,P.astreoides,NA,Sample,28,23.1,,,,,,,,
20190825,715,715,NA,10,10,NA,4,P.astreoides,NA,Sample,28,23.1,,,,,,,,
20190825,709,709,NA,1,1,NA,5,P.astreoides,NA,Sample,28,23.1,,,,,,,,
20190825,725,725,NA,2,2,NA,5,P.astreoides,NA,Sample,28,23.1,,,,,,,,
20190825,730,730,NA,3,3,NA,5,P.astreoides,NA,Sample,28,23.5,,,,,,,,
20190825,740,740,NA,4,4,NA,5,P.astreoides,NA,Sample,28,23.4,,,,,,,,
20190825,NA,NA,NA,5,5,NA,5,P.astreoides,NA,NA,NA,NA,,,,,,,,
20190825,NA,NA,NA,6,6,NA,5,P.astreoides,NA,NA,NA,NA,,,,,,,,
20190825,NA,NA,NA,7,7,NA,5,P.astreoides,NA,NA,NA,NA,,,,,,,,
20190825,NA,NA,NA,8,8,NA,5,P.astreoides,NA,NA,NA,NA,,,,,,,,
20190825,BLANK-5,BLANK-5,NA,9,9,NA,5,P.astreoides,NA,Blank,28,23.7,,,,,,,,
20190825,719,719,NA,10,10,NA,5,P.astreoides,NA,Sample,28,23.2,,,,,,,,
