Fragment.ID,Frag.ID.,Coral.ID,Origin,Transplant.site,Status,
733,R1C,R1,Rim,Rim,good,
712,R10B,R10,Rim,Rim,MISSING,
726,R11C,R11,Rim,Rim,DEAD,
737,R12C,R12,Rim,Rim,good,
710,R13B,R13,Rim,Rim,DEAD,
707,R14B,R14,Rim,Rim,good,
717,R15B,R15,Rim,Rim,good,
738,R16C,R16,Rim,Rim,MISSING,
708,R17C,R17,Rim,Rim,good,
718,R18C,R18,Rim,Rim,good,
724,R19C,R19,Rim,Rim,MISSING,
720,R2B,R2,Rim,Rim,MISSING,
725,R20B,R20,Rim,Rim,good,
709,R3B,R3,Rim,Rim,good,
702,R4B,R4,Rim,Rim,good,
728,R5B,R5,Rim,Rim,good,
727,R6B,R6,Rim,Rim,good,
719,R7C,R7,Rim,Rim,good,
723,R8B,R8,Rim,Rim,DEAD,
705,R9B,R9,Rim,Rim,MISSING,
735,D1C,D1,Upper-Mesophotic,Rim,DEAD,
722,D10B,D10,Upper-Mesophotic,Rim,DEAD,
730,D11C,D11,Upper-Mesophotic,Rim,good,
721,D12B,D12,Upper-Mesophotic,Rim,MISSING,
704,D13B,D13,Upper-Mesophotic,Rim,MISSING,
701,D14B,D14,Upper-Mesophotic,Rim,DEAD,
714,D15B,D15,Upper-Mesophotic,Rim,DEAD,
703,D16C,D16,Upper-Mesophotic,Rim,good,
713,D17B,D17,Upper-Mesophotic,Rim,mostly DEAD,
732,D18C,D18,Upper-Mesophotic,Rim,good,
711,D19C,D19,Upper-Mesophotic,Rim,good,
729,D2C,D2,Upper-Mesophotic,Rim,good,
734,D20B,D20,Upper-Mesophotic,Rim,MISSING,
740,D3B,D3,Upper-Mesophotic,Rim,good,
715,D4C,D4,Upper-Mesophotic,Rim,good,
716,D5B,D5,Upper-Mesophotic,Rim,good,
731,D6C,D6,Upper-Mesophotic,Rim,good,
739,D7C,D7,Upper-Mesophotic,Rim,good,
706,D8C,D8,Upper-Mesophotic,Rim,good,
736,D9B,D9,Upper-Mesophotic,Rim,MISSING,
770,R1B,R1,Rim,Upper-Mesophotic,good,
746,R10C,R10,Rim,Upper-Mesophotic,good,
769,R11B,R11,Rim,Upper-Mesophotic,good,
776,R12B,R12,Rim,Upper-Mesophotic,good,
750,R13C,R13,Rim,Upper-Mesophotic,good,
744,R14C,R14,Rim,Upper-Mesophotic,good,
751,R15B,R15,Rim,Upper-Mesophotic,DEAD,
767,R16B,R16,Rim,Upper-Mesophotic,good,
755,R17B,R17,Rim,Upper-Mesophotic,good,
778,R18B,R18,Rim,Upper-Mesophotic,DEAD,
779,R19B,R19,Rim,Upper-Mesophotic,mostly DEAD,
759,R2C,R2,Rim,Upper-Mesophotic,good,
772,R20C,R20,Rim,Upper-Mesophotic,DEAD,
754,R3C,R3,Rim,Upper-Mesophotic,good,
741,R4C,R4,Rim,Upper-Mesophotic,good,
768,R5C,R5,Rim,Upper-Mesophotic,DEAD,
762,R6C,R6,Rim,Upper-Mesophotic,good,
758,R7B,R7,Rim,Upper-Mesophotic,good,
780,R8C,R8,Rim,Upper-Mesophotic,good,
749,R9C,R9,Rim,Upper-Mesophotic,good,
774,D1B,D1,Upper-Mesophotic,Upper-Mesophotic,DEAD,
761,D10C,D10,Upper-Mesophotic,Upper-Mesophotic,DEAD,
763,D11B,D11,Upper-Mesophotic,Upper-Mesophotic,mostly DEAD,
760,D12C,D12,Upper-Mesophotic,Upper-Mesophotic,good,
743,D13C,D13,Upper-Mesophotic,Upper-Mesophotic,good,
742,D14C,D14,Upper-Mesophotic,Upper-Mesophotic,DEAD,
756,D15C,D15,Upper-Mesophotic,Upper-Mesophotic,MISSING,
748,D16B,D16,Upper-Mesophotic,Upper-Mesophotic,DEAD,
757,D17C,D17,Upper-Mesophotic,Upper-Mesophotic,good,
764,D18B,D18,Upper-Mesophotic,Upper-Mesophotic,good,
747,D19B,D19,Upper-Mesophotic,Upper-Mesophotic,good,
771,D2B,D2,Upper-Mesophotic,Upper-Mesophotic,good,
777,D20B,D20,Upper-Mesophotic,Upper-Mesophotic,good,
765,D3C,D3,Upper-Mesophotic,Upper-Mesophotic,good,
753,D4B,D4,Upper-Mesophotic,Upper-Mesophotic,good,
752,D5B,D5,Upper-Mesophotic,Upper-Mesophotic,good,
773,D6C,D6,Upper-Mesophotic,Upper-Mesophotic,good,
775,D7B,D7,Upper-Mesophotic,Upper-Mesophotic,good,
745,D8B,D8,Upper-Mesophotic,Upper-Mesophotic,mostly DEAD,
766,D9C,D9,Upper-Mesophotic,Upper-Mesophotic,DEAD,
