"","Fragment.ID","Intercept","umol.L.sec","V4","V5","Date.x","Sample.ID","Plug.Number","Chamber.Channel","Position","Bin.ID","Run","Species","Fragment.Number","Sample.Type","Temp.Cat","Water.Height.cm","Chamber.Vol.L","Surf.Area.cm2","Start.Tme.Light","Stop.Time.Light","Start.Tme.Dark","Stop.Time.Dark","Notes.x","QC","Water.Height.in","umol.sec","Blank","umol.sec.corr","Date.y","Red.Standard","Green.Standard","Blue.Standard","Red.Coral","Green.Coral","Blue.Coral","SA","Notes.y","umol.cm2.hr"
"1","702",185.5138188296,-0.000445355731225301,NA,"Resp",20190825,"702",NA,7,7,NA,1,"P.astreoides",NA,"Sample",28,22.6,17.5856987875575,NA,NA,NA,NA,NA,NA,NA,8.8976426,-0.00783189174264056,-0.00359632196118317,-0.00423556978145739,"8/21/19",178.188,113.018,149.245,121.608,97.272,52.535,87.795,"",-0.173677899803481
"2","703",178.059107430671,-0.00104531886974017,NA,"Resp",20190825,"703",NA,3,3,NA,2,"P.astreoides",NA,"Sample",28,23.2,18.06957011184,NA,NA,NA,NA,NA,NA,NA,9.1338632,-0.0188884626059994,-0.00359632196118317,-0.0152921406448162,"8/21/19",171.741,106.315,137.498,115.375,83.766,37.895,72.942,"",-0.754732613875934
"3","706",167.262438014617,-0.00090407487249588,NA,"Resp",20190825,"706",NA,6,6,NA,3,"P.astreoides",NA,"Sample",28,23,17.9082796704125,NA,NA,NA,NA,NA,NA,NA,9.055123,-0.0161904256596487,-0.00359632196118317,-0.0125941036984656,"8/21/19",159.952,98.987,130.932,109.996,84.992,53.624,61.925,"",-0.732156210165136
"4","707",169.628956578948,-0.00103197012802286,NA,"Resp",20190825,"707",NA,6,6,NA,2,"P.astreoides",NA,"Sample",28,23.2,18.06957011184,NA,NA,NA,NA,NA,NA,NA,9.1338632,-0.0186472565816336,-0.00359632196118317,-0.0150509346204504,"8/21/19",177.203,117.16,153.153,98.532,76.503,38.345,74.303,"",-0.729221762696278
"5","708",187.877428370139,-0.00107953292945083,NA,"Resp",20190825,"708",NA,2,2,NA,3,"P.astreoides",NA,"Sample",28,23.5,18.3115057739813,NA,NA,NA,NA,NA,NA,NA,9.2519735,-0.0197678734708417,-0.00359632196118317,-0.0161715515096585,"8/21/19",180.231,114.451,152.606,101.752,71.369,37.95,73.951,"",-0.787245411620812
"6","709",168.577706422351,-0.0011019230769231,NA,"Resp",20190825,"709",NA,1,1,NA,5,"P.astreoides",NA,"Sample",28,23.1,17.9889248911263,NA,NA,NA,NA,NA,NA,NA,9.0944931,-0.0198224114665683,-0.00359632196118317,-0.0162260895053852,"8/21/19",171.542,111.902,146.62,100.41,80.366,44.945,47.153,"",-1.23881666531051
"7","711",189.413431860439,-0.00121394249231949,NA,"Resp",20190825,"711",NA,2,2,NA,2,"P.astreoides",NA,"Sample",28,23.3,18.1502153325538,NA,NA,NA,NA,NA,NA,NA,9.1732333,-0.0220333176369357,-0.00359632196118317,-0.0184369956757525,"8/21/19",161.293,96.582,128.044,131.405,107.779,74.596,76.444,"",-0.868258914142498
"8","715",159.713779374983,-0.000850222834454239,NA,"Resp",20190825,"715",NA,10,10,NA,4,"P.astreoides",NA,"Sample",28,23.1,17.9889248911263,NA,NA,NA,NA,NA,NA,NA,9.0944931,-0.0152945947097178,-0.00359632196118317,-0.0116982727485346,"8/21/19",191.255,126.619,160.284,114.378,86.405,37.674,74.465,"",-0.56555135828543
"9","716",182.674252076613,-0.00117747983870969,NA,"Resp",20190825,"716",NA,9,9,NA,4,"P.astreoides",NA,"Sample",28,23.1,17.9889248911263,NA,NA,NA,NA,NA,NA,NA,9.0944931,-0.0211815963793641,-0.00359632196118317,-0.0175852744181809,"8/21/19",162.398,96.099,135.983,109.995,82.939,38.866,61.122,"",-1.03574797790405
"10","717",186.116036894405,-0.00124449277675792,NA,"Resp",20190825,"717",NA,9,9,NA,1,"P.astreoides",NA,"Sample",28,23,17.9082796704125,NA,NA,NA,NA,NA,NA,NA,9.055123,-0.0222867246939891,-0.00359632196118317,-0.0186904027328059,"8/21/19",176.427,112.643,147.188,113.412,86.848,51.08,117.788,"",-0.571241975736928
"11","718",178.585587404585,-0.00124982674042375,NA,"Resp",20190825,"718",NA,4,4,NA,2,"P.astreoides",NA,"Sample",28,23.3,18.1502153325538,NA,NA,NA,NA,NA,NA,NA,9.1732333,-0.0226846244670749,-0.00359632196118317,-0.0190883025058917,"8/21/19",179.256,118.03,153.21,110.316,82.69,40.047,76.139,"",-0.902532066630902
"12","719",158.915877591837,-0.000630244897959212,NA,"Resp",20190825,"719",NA,10,10,NA,5,"P.astreoides",NA,"Sample",28,23.2,18.06957011184,NA,NA,NA,NA,NA,NA,NA,9.1338632,-0.0113882543713034,-0.00359632196118317,-0.00779193241012026,"8/21/19",180.682,112.913,155.195,103.843,80.998,41.925,41.604,"",-0.674237012701493
"13","725",187.086365009212,-0.00132858204688394,NA,"Resp",20190825,"725",NA,2,2,NA,5,"P.astreoides",NA,"Sample",28,23.1,17.9889248911263,NA,NA,NA,NA,NA,NA,NA,9.0944931,-0.0238997626530939,-0.00359632196118317,-0.0203034406919108,"8/21/19",185.791,116.966,154.461,118.834,87.881,48.125,63.489,"",-1.15126063555701
"14","726",165.571959109312,-0.000886234817813812,NA,"Resp",20190825,"726",NA,6,6,NA,4,"P.astreoides",NA,"Sample",28,23.3,18.1502153325538,NA,NA,NA,NA,NA,NA,NA,9.1732333,-0.0160853527785272,-0.00359632196118317,-0.0124890308173441,"8/21/19",177.326,117.359,145.691,83.703,62.062,33.678,58.986,"",-0.762223424921823
"15","728",170.490740057093,-0.00138441370223978,NA,"Resp",20190825,"728",NA,1,1,NA,3,"P.astreoides",NA,"Sample",28,23.3,18.1502153325538,NA,NA,NA,NA,NA,NA,NA,9.1732333,-0.02512740680499,-0.00359632196118317,-0.0215310848438068,"8/21/19",166.387,104.88,139.969,117.924,87.663,45.109,61.563,"",-1.25906641063146
