"","Light_Level","Coral.ID","Intercept","µmol.L.sec","Temp","Date","Sample.ID","Plug.Number","Chamber.Channel","Position","Bin.ID","Run","Species","Fragment.Number","Sample.Type","Temp.Cat","Water.Height.cm","Chamber.Vol.L","Surf.Area.cm2","Start.time","Stop.Time","Light_Dark","Light_Value","Notes","QC","Water.Height.in","sample.micromol.s","blank.micromol.s","corr.micromol.s","micromol.cm2.s","micromol.cm2.h"
"1",1,"717_1",167.100465934066,-0.00114725274725271,28.0464642857143,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"10:17","10:37","Dark",0,NA,NA,9.1732333,-0.0208228844035006,-0.012683300082845,-0.00813958432065561,-6.98718748822299e-05,-0.251538749576028
"2",1,"776_1",192.562134816176,-0.00223481617647053,28.3835,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"10:17","10:37","Dark",0,NA,NA,9.0944931,-0.0402019403440023,-0.012683300082845,-0.0275186402611573,-0.000260773453818997,-0.938784433748389
"3",1,"BLANK_1",170.503020659341,-0.0006865934065935,28.2299642857143,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"10:17","10:37","Dark",0,NA,NA,9.3307137,-0.012683300082845,-0.012683300082845,0,NA,NA
"4",1,"757_1",186.71962302096,-0.000842597680097643,28.1991428571429,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"10:17","10:37","Dark",0,NA,NA,9.0944931,-0.0151574263807137,-0.012683300082845,-0.00247412629786873,-2.46247877327116e-05,-0.0886492358377616
"5",1,"737_1",182.561236025641,-0.00166679487179478,27.3217142857143,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"10:17","10:37","Dark",0,NA,NA,9.1338632,-0.0301182667979512,-0.012683300082845,-0.0174349667151062,-0.00013081752076582,-0.470943074756951
"6",2,"BLANK_2",169.769277880342,-6.28376068376466e-05,28.238,20190822,"BLANK_20190822",NA,6,6,NA,1,"P.astreoides",NA,"Blank",NA,23.7,18.4727962154088,NA,"10:39","10:59","Light",41,NA,NA,9.3307137,-0.00116078630577582,-0.00116078630577582,0,NA,NA
"7",2,"776_2",189.961788296569,-0.000783394607843109,28.3777142857143,20190822,"776_20190822",NA,7,7,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,105.527,"10:39","10:59","Light",41,NA,NA,9.0944931,-0.014092426760603,-0.00116078630577582,-0.0129316404548272,-0.000122543429215529,-0.441156345175906
"8",2,"737_2",180.067673884615,-0.000613884615384617,27.3755357142857,20190822,"737_20190822",NA,9,9,NA,1,"P.astreoides",NA,"Sample",NA,23.2,18.06957011184,133.277,"10:39","10:59","Light",41,NA,NA,9.1338632,-0.0110926310982723,-0.00116078630577582,-0.00993184479249645,-7.45203207792526e-05,-0.268273154805309
"9",2,"757_2",185.4187785,-0.000440038461538477,28.2145714285714,20190822,"757_20190822",NA,8,8,NA,1,"P.astreoides",NA,"Sample",NA,23.1,17.9889248911263,100.473,"10:39","10:59","Light",41,NA,NA,9.0944931,-0.00791581883382241,-0.00116078630577582,-0.00675503252804659,-6.72323164237814e-05,-0.242036339125613
"10",2,"717_2",165.557227236842,-0.000790394736842085,28.0557857142857,20190822,"717_20190822",NA,10,10,NA,1,"P.astreoides",NA,"Sample",NA,23.3,18.1502153325538,116.493,"10:39","10:59","Light",41,NA,NA,9.1732333,-0.014345834671401,-0.00116078630577582,-0.0131850483656252,-0.000113183181527003,-0.407459453497211
